model,family_track,act_tier,act_graftability,iterative_structure,act_insertion_point,act_effort,github_url,github_status
AIDO.Cell perturbation (Foundation Models Improve Perturbation Response Prediction),Foundation/Adaptation,HIGH,"HIGH. Learned-halting / convergence-based refinement loop is a natural fit: add halting head on running sample img/x_t inside DDIM/ODE/SDE loop, stop when update norm converges (or learned halt fires), ponder cost on step count. = 'adaptive number of denoising steps per perturbation' = the user's 'refinement rounds' signature, semantically clean (harder perts -> more steps). BEST single ACT host in this family.","STRONGEST in this family. Diffusion sampling_timesteps (DDIM loop), flow-matching ODE solver steps, Schrodinger-bridge SDE steps, and GNN num_layers -- all explicit loops whose step-count is a set parameter. Exactly the axes ACT varies.","GaussianDiffusion1D.ddim_sample / p_sample_loop in train_generative/diffusion.py (wrap 'for time,time_next in time_pairs' with a halting head on img/x_start + ponder cost); or ODESolver call in FlowMatching1D.sample (adaptive step controller); or SDE loop in SchrodingerBridge1D. GNN route: GNN.forward 'for' loop in train_gnn/models.py.",LOW-MEDIUM (iterative core already exists; work = learned halting head + ponder loss + convergence signal).,https://github.com/genbio-ai/foundation-models-perturbation,VERIFIED_ACTIVE
AlphaCell,OT/Flow/Diffusion,HIGH,HIGH in principle (paper-only; no code to attach to) -- same flow-ODE structure as CellFlow; a step loop would host a halting head reading velocity-field magnitude. But NOT_FOUND repo => no code insertion point.,paper-only: latent flow-matching ODE integrated by EULER from t=0->1 (explicit multi-step integrator; world-model 'rollout' of cellular dynamics). Step count = number of Euler steps = refinement-round analog. No code to inspect (repo NOT_FOUND).,Prospective only (no code): the latent Euler ODE integration loop of the Universal State Transition flow field; a halting head would read ||velocity|| per Euler step and halt on convergence. Would require reimplementation from the paper.,HIGH,NOT_FOUND,NOT_FOUND
CellFlow,OT/Flow/Diffusion,HIGH,HIGH -- integrator already varies step count; strongest ACT host in family alongside scDiff. Adaptive PIDController already emits a data-dependent per-perturbation step count usable as a ready-made 'refinement rounds' readout with zero code change.,"YES -- inference solves dx/dt=v_theta(t,x,cond) from t0=0 to t1=1 via diffrax.diffeqsolve inside _otfm.py::_get_predict_fn.solve_ode. Defaults (_predict_jit): solver=diffrax.Tsit5(), stepsize_controller=PIDController(rtol/atol=1e-5), dt0=None. STEP COUNT is an inference kwarg passed through predict(**kwargs)->diffeqsolve (fixed-step Euler or step controller). Refinement rounds = ODE solver steps.","In src/cellflow/solvers/_otfm.py::_get_predict_fn, replace diffrax.diffeqsolve with a custom Euler/step loop over solve_ode and add a halting head reading the per-step velocity norm ||v_theta(t,x_t,cond)|| (already computed each step); halt when velocity/displacement < learned threshold. Or simply record the existing PIDController step count per perturbation.",LOW-MEDIUM,https://github.com/theislab/cellflow,VERIFIED_ACTIVE
PDGrapher,KnowledgeGraph/GRN,HIGH,"HIGH (message-passing depth) / MEDIUM (cycle). Explicit unrolled GCN loop whose depth is already swept {1,2,3}; a learned adaptive depth is a natural drop-in. Alternative: iterate the fwd<->bwd cycle to a fixed point with a halting criterion.","YES (KEY): GNN message-passing depth n_layers_gnn -- explicit 'for conv, bn in zip(self.convs, self.bns)' loop in GCNBase.from_node_to_out. Paper/experiments sweep n_layers_gnn in [1,2,3] (experiments_resubmission_bme/genetic.py:38). PLUS the forward<->backward cycle (a fixed 2-step consistency loop, not variable-length).","src/pdgrapher/_models.py GCNBase.from_node_to_out -- add per-step halting head on pooled node state + ponder cost to the 'for conv, bn in zip(self.convs, self.bns)' loop (respect the residual [x1,x2,x] re-concatenation shape). Or make the train.py forward<->backward cycle iterate to convergence.",MEDIUM,https://github.com/mims-harvard/PDGrapher,VERIFIED_ACTIVE
SequenTx (AlphaTherapy),Transfer/Spatial,HIGH,"HIGH. The env already runs a variable-length recurrence over a residual state-transition model with a learned policy choosing actions. A learned halting head + ponder cost attaches naturally: replace the fixed env_step>=max_step_number termination with a learned STOP action or halting probability read from cur_state, and penalize step count (ponder). DQN already emits per-step Q-values.","YES -- explicit episodic loop. Step count set by self.max_step_number (config) and terminated by self.done=self.env_step>=self.max_step_number in ccl_env_cpd.py::_reward. Each step is next_state=cur_state+StateTransition.predict(drug,cur_state) -- a residual state-transition recurrence unrolled over time. This is exactly an unrollable iterative core.","Replace fixed termination in scripts/gym_cell_model/gym_cell_model/envs/ccl_env_cpd.py (CCLEnvCPD._reward / single_action_step, the `self.done = self.env_step >= self.max_step_number` line) with a learned halting condition (halting MLP on self.cur_state accumulating ACT-style halting prob, or an explicit STOP action added to env.action_space in __init__); add ponder penalty to reward in _reward(); DQN Net/policy in RL_agent.py emits the halting logit.","LOW-MEDIUM. Iterative core, per-step state update, and step counter already exist; only the halting head + ponder cost + optional STOP action need adding. CAVEAT: SequenTx steps model biological treatment TIME (24h/step), not a pure computational-complexity proxy -- grafting ACT here measures treatment rounds to endpoint, conflating halting with biological time (opposite of the user's effect-size-independent computational-proxy requirement). Highest mechanical graftability but semantic care needed.",https://github.com/bm2-lab/SequenTx,VERIFIED_ACTIVE
TxPert,KnowledgeGraph/GRN,HIGH,HIGH. Explicit unrolled GAT message-passing loops with config-driven depth; the GatedCombiner already implements a per-layer learned sigmoid gate that is close in spirit to a halting gate and could be repurposed. Add halting head + ponder cost with minimal surgery.,"YES (KEY): two explicit hand-unrolled message-passing loops. basic_gnn.py GNN.forward: 'for idx, layer in enumerate(self.gnn_layers): x = layer(x, edge_index, ...)' depth num_layers (default 4) + skip. multi_graph.py MGAT.forward: 'for i, layer in enumerate(self.layers): h = layer(h, edge_index)' over num_hidden GATv2 layers, per-KG (n_layers). Step knobs num_layers / num_hidden are config-driven.","gspp/models/pert_models/basic_gnn.py GNN.forward ('for idx, layer in enumerate(self.gnn_layers)') and/or gspp/models/pert_models/multi_graph.py MGAT.forward ('for i, layer in enumerate(self.layers)'); add per-step halting MLP on x/h + ponder term to TxPert.loss (gspp/models/txpert.py); repurpose GatedCombiner as halting head.",MEDIUM,https://github.com/valence-labs/TxPert,VERIFIED_ACTIVE
scDiff,OT/Flow/Diffusion,HIGH,HIGH -- diffusion reverse chain is a canonical unrollable loop with a natural per-step convergence signal (predicted-x0 change / posterior variance / VLB).,"YES -- canonical DDPM reverse chain in scdiff/model.py:728 p_sample_loop: for i in reversed(range(0,t_start+1)): x,vlb=p_sample(...). Step count = t_start (<= num_timesteps=1000). Config knobs recon_sample (one-step vs full), denoise_t_sample, t_sample. Per-step VLB available (return_vlb) as convergence signal.",Wrap the for-i-in-reversed loop in ScDiff.p_sample_loop (scdiff/model.py ~line 748): add a halting head reading per-step predicted-x0 change or posterior_variance (or the already-computed VLB) and early-exit the denoising chain (adaptive number of denoising steps ~ ponder).,LOW-MEDIUM,https://github.com/OmicsML/scDiff,VERIFIED_ACTIVE
GEARS,KnowledgeGraph/GRN,MEDIUM-HIGH,MEDIUM-HIGH. Already has an unrollable iterative GNN core (the sim_layers/layers_emb_pos loops); add a per-step halting MLP + ponder cost. Caveat: default depth 1 means the stack must be deepened first for halting to have anything to halt over.,"YES (KEY): two explicit hand-unrolled message-passing loops in GEARS_Model.forward -- 'for idx,layer in enumerate(self.layers_emb_pos)' (co-expr) and 'for idx,layer in enumerate(self.sim_layers)' (GO). Step-count = num_gene_gnn_layers / num_go_gnn_layers, BOTH default=1 (gears.py:123-124). SGConv also has internal K-hop (K=1 here). Natural adaptive-computation axis exists but ships shallow (depth 1).","gears/model.py GEARS_Model.forward -- wrap the 'for idx, layer in enumerate(self.sim_layers)' loop (and/or layers_emb_pos) with a per-step halting head reading pert_global_emb; add ponder term to loss_fct (gears/utils.py:388) and thread step budget through gears.py config (num_go_gnn_layers).",MEDIUM,https://github.com/snap-stanford/GEARS,VERIFIED_ACTIVE
PertAdapt (Condition-Sensitive Adaptation on frozen scFMs),Foundation/Adaptation,MEDIUM-HIGH,MEDIUM-HIGH. GO-GNN message-passing rounds are exactly the iterative block ACT targets (vary #rounds per perturbation). Add halting head on pert_global_emb after each sim_layers round; halt on GO-embedding convergence. Or unroll PertAdapterNew into N refinement blocks with halting.,GO-GNN loop 'for layer in self.sim_layers' runs num_go_gnn_layers message-passing rounds -- unrollable message-passing depth. PertAdapterNew is a single attention block (stackable/unrollable). Step-count set by args['num_go_gnn_layers'].,"GEARS_Model_Pert_Adapter_New_aido.forward in AIDOCell/PertAdapter/gears/model_new.py -- wrap the 'for idx,layer in enumerate(self.sim_layers)' GO message-passing loop with a per-step halting MLP + ponder cost; or stack self.pert_adapter into a variable-count refinement loop over gene embeddings.",MEDIUM.,https://github.com/BaiDing1234/PertAdapt,VERIFIED_ACTIVE
STATE (State Transition + State Embedding),Foundation/Adaptation,MEDIUM-HIGH,"MEDIUM-HIGH. Two hooks: (1) ConfidenceToken ALREADY is a halting head -- wrap forward in a loop re-feeding out_pred as next basal, halt when confidence_pred crosses threshold / residual norm converges, add ponder penalty. (2) unroll GPT2 stack with per-layer early-exit. Route (1) is cleanest because residual form makes iteration semantically meaningful (successive Delta refinement).","Backbone is a fixed L-layer GPT2 stack (n_layer config); one forward, no runtime-varied loop. Step-count = transformer depth (config). BUT residual form pred=basal+Delta is the natural thing to iterate (feed prediction back as new basal).","StateTransitionPerturbationModel.forward in src/state/tx/models/state_transition.py -- wrap body (~lines 396-540) in for step in range(max_steps), reassign basal<-out_pred each round, use existing ConfidenceToken.extract_confidence_prediction as halting logit + ponder cost; predict_step (~764) returns per-set halt-step count.",MEDIUM (Lightning module; residual+confidence scaffolding present; work = refinement loop + ponder loss + retrain halting head).,https://github.com/ArcInstitute/state,VERIFIED_ACTIVE
